dataset,status,n_train,p,rmsep_pls_fixed,rmsep_ridge_fixed
ALPINE_P_291_KS,ok,247.0,2151.0,0.06053199943778754,0.06133565262547991
Rice_Amylose_313_YbasedSplit,ok,203.0,1154.0,3.1569252038600313,4.641411080226088
Beef_Marbling_RandomSplit,ok,554.0,331.0,74.840257870404,72.34068613931137
Beer_OriginalExtract_60_KS,ok,40.0,576.0,0.22057487628802702,0.5445546084285803
Beer_OriginalExtract_60_YbaseSplit,ok,40.0,576.0,0.2947257171372674,0.945743834194109
brix_groupSampleID_stratDateVar_balRows,ok,1434.0,2101.0,4.128557876269848,4.06311394033843
ph_groupSampleID_stratDateVar_balRows,ok,912.0,2101.0,0.429035340152553,0.4362399515491288
ta_groupSampleID_stratDateVar_balRows,ok,912.0,2101.0,2.705207331769836,2.555285263729833
Biscuit_Fat_40_RandomSplit,ok,40.0,700.0,0.3834220215818889,0.6091665590886804
Biscuit_Sucrose_40_RandomSplit,ok,40.0,700.0,1.1892686836912694,1.2886489564915034
C_woOutlier,ok,1210.0,1154.0,1.8142589351690313,1.9452587516634732
N_wOutlier,ok,1220.0,1154.0,0.3265168381577247,0.28636329910695874
N_woOutlier,ok,1205.0,1154.0,0.25465554072465185,0.26104715357686437
Corn_Oil_80_ZhengChenPelegYbaseSplit,ok,64.0,700.0,0.05036851841606581,0.12577049437707583
Corn_Starch_80_ZhengChenPelegYbaseSplit,ok,64.0,700.0,0.1422757217148685,0.6343292757752208
DIESEL_bp50_246_b-a,ok,113.0,401.0,4.1682767523772,5.8970565241314965
DIESEL_bp50_246_hla-b,ok,133.0,401.0,2.884560373199547,5.953034665208649
DIESEL_bp50_246_hlb-a,ok,133.0,401.0,3.8064098529034345,5.5444154956773435
Rd25_CBtestSite,ok,324.0,2151.0,0.2547682346378776,0.28123799319789167
Rd25_GTtestSite,ok,297.0,2151.0,0.40326689642701724,0.3440741802259245
Rd25_XSBNtestSite,ok,319.0,2151.0,0.27458867660820196,0.24580214747295892
Rd25_spxy70,ok,329.0,2151.0,0.19038855618041867,0.18904212724149727
Ccar_spxyG_block2deg,ok,1016.0,196.0,69.9489632187894,62.55704425001872
Chla+b_spxyG_block2deg,ok,2925.0,196.0,52.17895994483681,48.17855682715751
Chla+b_spxyG_species,ok,3734.0,196.0,48.12828947760752,45.22830807511112
LMA_spxyG_block2deg,ok,39225.0,196.0,23.950950259911338,23.369140610178743
FinalScore_grp70_30_scoreQ,nan,,,,
Fv_Fm_grp70_30,ok,351.0,2177.0,0.03108787585498921,0.029236730915657747
Tleaf_grp70_30,nan,,,,
grapevine_chloride_556_KS,ok,388.0,1023.0,897.3370136798736,982.0174387547817
An_spxyG70_30_byCultivar_ASD,ok,78.0,2101.0,3.383692657715871,3.5935764269662918
An_spxyG70_30_byCultivar_MicroNIR,ok,81.0,125.0,3.7679191962820795,3.9200156828729043
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,ok,80.0,276.0,4.282799780098555,3.9711056752605494
An_spxyG70_30_byCultivar_NeoSpectra,ok,82.0,257.0,5.050624583283834,4.465281568267814
LMA_spxyG70_30_byCultivar_ASD,ok,1092.0,2101.0,0.3081789058534893,0.3049796718119518
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,ok,77.0,276.0,1.478213445290703,1.5535077177509424
TIC_spxy70,ok,43.0,254.0,3.123243474589493,3.063397402524758
LUCAS_SOC_Cropland_8731_NocitaKS,ok,6111.0,4200.0,5.08322035359787,4.962695536584259
LUCAS_SOC_all_26650_NocitaKS,ok,13325.0,4200.0,23.12185377439659,22.14590597466418
LUCAS_pH_Organic_1763_LiuRandomOrganic,ok,1175.0,4200.0,0.37054623917125784,0.49016972629999583
Malaria_Oocist_333_Maia,ok,227.0,2151.0,8396.202187967563,7766.622022173345
Malaria_Sporozoite_229_Maia,ok,138.0,2151.0,35190.0181782918,34292.068863621695
All_manure_CaO_SPXY_strat_Manure_type,ok,343.0,1003.0,8.762504024510067,7.42113779743658
All_manure_K2O_SPXY_strat_Manure_type,ok,343.0,1003.0,2.8341890510176353,2.5301959376065817
All_manure_MgO_SPXY_strat_Manure_type,ok,343.0,1003.0,0.8566992380477177,0.7855639954270996
All_manure_P2O5_SPXY_strat_Manure_type,ok,343.0,1003.0,2.905730781271954,2.678954122923233
All_manure_Total_N_SPXY_strat_Manure_type,ok,343.0,1003.0,1.8436689673378304,1.7584281376728408
Milk_Fat_1224_KS,ok,181.0,255.0,0.09089004609526634,0.2527804630751524
Milk_Lactose_1224_KS,ok,856.0,255.0,0.08219392270305828,0.15200171715705496
Milk_Urea_1224_KS,ok,856.0,255.0,4.236130983126958,4.804516358935778
Brix_spxy70,ok,35.0,600.0,0.9641956158900414,1.4103983280332797
LP_spxyG,ok,169.0,2101.0,0.20728311298287425,0.1376538505397081
MP_spxyG,ok,169.0,2101.0,0.023552933175396563,0.019180985818045577
NP_spxyG,ok,169.0,2101.0,0.16379461643787535,0.09602924591668201
Pi_spxyG,ok,169.0,2101.0,0.20459739449707925,0.16793854582357204
V25_spxyG,ok,168.0,2101.0,0.34096612766075257,0.23217355456573102
Firmness_spxy70,ok,28.0,600.0,0.4197128646612074,0.2637468363612809
Escitalopramt_310_Zhao,ok,207.0,404.0,0.39200661860465447,0.3613839270227238
WOOD_Density_402_Olale,ok,216.0,1038.0,0.12938814468468207,0.12902638383748732
WOOD_N_402_Olale,ok,216.0,1038.0,0.05086629362762069,0.04903939622189474
